feature_set,tt_split,seed,groups,threshhold,trial,training_accuracy,oob_error,testing_accuracy
channelAB,0.7,1234,2,25,1,0.655714286,0.242068718,0.72
channelAB,0.7,1234,2,25,2,0.722380952,0.199064889,0.56
channelAB,0.7,1234,2,25,3,0.708095238,0.24003226,0.68
channelAB,0.7,1234,2,25,4,0.688095238,0.210649454,0.6
channelAB,0.7,1234,2,25,5,0.708095238,0.226308725,0.76
channelAB,0.7,1234,2,25,6,0.634761905,0.223729669,0.6
channelAB,0.7,1234,2,25,7,0.728095238,0.221243968,0.72
channelAB,0.7,1234,2,25,8,0.688095238,0.198464028,0.64
channelAB,0.7,1234,2,25,9,0.743333333,0.197893664,0.72
channelAB,0.7,1234,2,25,10,0.623333333,0.2243781,0.72
channelAB,0.8,1234,2,25,1,0.716666667,0.216284341,0.6
channelAB,0.8,1234,2,25,2,0.723214286,0.215510805,0.666666667
channelAB,0.8,1234,2,25,3,0.701190476,0.236509856,0.666666667
channelAB,0.8,1234,2,25,4,0.758928571,0.193061677,0.6
channelAB,0.8,1234,2,25,5,0.682142857,0.212058925,0.733333333
channelAB,0.8,1234,2,25,6,0.711904762,0.21830309,0.733333333
channelAB,0.8,1234,2,25,7,0.664285714,0.233366981,0.6
channelAB,0.8,1234,2,25,8,0.69047619,0.215829467,0.666666667
channelAB,0.8,1234,2,25,9,0.70952381,0.240116513,0.8
channelAB,0.8,1234,2,25,10,0.667261905,0.210205076,0.666666667
channelAB,0.7,1234,2,27,1,0.718095238,0.193264542,0.625
channelAB,0.7,1234,2,27,2,0.683333333,0.219721268,0.708333333
channelAB,0.7,1234,2,27,3,0.698095238,0.20741563,0.75
channelAB,0.7,1234,2,27,4,0.712380952,0.19880476,0.583333333
channelAB,0.7,1234,2,27,5,0.642380952,0.230051459,0.708333333
channelAB,0.7,1234,2,27,6,0.703809524,0.210178689,0.708333333
channelAB,0.7,1234,2,27,7,0.648095238,0.239953603,0.791666667
channelAB,0.7,1234,2,27,8,0.65,0.212911382,0.708333333
channelAB,0.7,1234,2,27,9,0.715714286,0.210599856,0.625
channelAB,0.7,1234,2,27,10,0.726190476,0.222347752,0.625
channelAB,0.8,1234,2,27,1,0.680357143,0.203223262,0.6875
channelAB,0.8,1234,2,27,2,0.683333333,0.220716583,0.625
channelAB,0.8,1234,2,27,3,0.698214286,0.211277748,0.6875
channelAB,0.8,1234,2,27,4,0.731547619,0.185520135,0.5625
channelAB,0.8,1234,2,27,5,0.664880952,0.209314322,0.6875
channelAB,0.8,1234,2,27,6,0.736904762,0.194882533,0.5
channelAB,0.8,1234,2,27,7,0.652380952,0.22211727,0.5625
channelAB,0.8,1234,2,27,8,0.641071429,0.24103968,0.8125
channelAB,0.8,1234,2,27,9,0.635714286,0.219356988,0.8125
channelAB,0.8,1234,2,27,10,0.711904762,0.213636703,0.6875
channelAB,0.7,1234,3,"20, 30",1,0.503809524,0.369198818,0.416666667
channelAB,0.7,1234,3,"20, 30",2,0.506666667,0.407262885,0.583333333
channelAB,0.7,1234,3,"20, 30",3,0.561904762,0.358906245,0.375
channelAB,0.7,1234,3,"20, 30",4,0.536190476,0.401458756,0.541666667
channelAB,0.7,1234,3,"20, 30",5,0.554761905,0.38527172,0.541666667
channelAB,0.7,1234,3,"20, 30",6,0.411904762,0.403638144,0.458333333
channelAB,0.7,1234,3,"20, 30",7,0.513809524,0.380433926,0.458333333
channelAB,0.7,1234,3,"20, 30",8,0.583333333,0.362277977,0.416666667
channelAB,0.7,1234,3,"20, 30",9,0.44952381,0.434362328,0.583333333
channelAB,0.7,1234,3,"20, 30",10,0.485238095,0.40082202,0.5
channelAB,0.8,1234,3,"20, 30",1,0.498809524,0.388674891,0.466666667
channelAB,0.8,1234,3,"20, 30",2,0.531547619,0.419000869,0.666666667
channelAB,0.8,1234,3,"20, 30",3,0.488095238,0.37610695,0.4
channelAB,0.8,1234,3,"20, 30",4,0.420238095,0.445328311,0.6
channelAB,0.8,1234,3,"20, 30",5,0.409722222,0.418424499,0.6
channelAB,0.8,1234,3,"20, 30",6,0.461904762,0.419628955,0.666666667
channelAB,0.8,1234,3,"20, 30",7,0.554166667,0.397694092,0.466666667
