feature_set,properties,tt_split,seed,trial,training_rmse,training_r2,oob_error,testing_rmse,testing_r2
channelAB,physiochemical,0.7,1234,1,12.80886268,0.351786777,12.959164,9.136860353,0.448593844
channelAB,physiochemical,0.7,1234,2,11.49428536,0.431078372,12.00771295,12.454288,0.211526049
channelAB,physiochemical,0.7,1234,3,10.63507251,0.443667509,11.17655824,13.49677086,0.063526966
channelAB,physiochemical,0.7,1234,4,12.24982328,0.281479593,12.43723243,11.67757113,0.340592408
channelAB,physiochemical,0.7,1234,5,9.382276281,0.546969143,10.25357509,16.08034512,2.63E-05
channelAB,physiochemical,0.7,1234,6,11.47539579,0.367984989,11.98570415,12.31595765,0.206780472
channelAB,physiochemical,0.7,1234,7,11.42766342,0.400467389,12.06679611,12.0489305,0.170725598
channelAB,physiochemical,0.7,1234,8,11.95602065,0.323145534,13.24758175,10.80231118,0.283039359
channelAB,physiochemical,0.7,1234,9,11.32213438,0.349492122,11.77115881,12.66551039,0.10925566
channelAB,physiochemical,0.7,1234,10,11.16526512,0.420866701,11.76781075,12.17184508,0.152122187
channelAB,physiochemical,0.8,1234,1,11.66760375,0.273243173,12.29577256,11.19417643,0.612282898
channelAB,physiochemical,0.8,1234,2,11.694783,0.398006368,12.13318162,11.37939692,0.323956036
channelAB,physiochemical,0.8,1234,3,11.25411552,0.429490745,11.77755932,11.91260768,0.17300757
channelAB,physiochemical,0.8,1234,4,11.15292462,0.363575362,11.60262128,12.24825307,0.168507061
channelAB,physiochemical,0.8,1234,5,11.51750652,0.341168152,12.06395955,11.82075535,0.38501663
channelAB,physiochemical,0.8,1234,6,10.83152177,0.393774695,11.14757369,13.39330192,0.049300748
channelAB,physiochemical,0.8,1234,7,11.09790834,0.432547222,11.69724374,12.88103799,0.071432861
channelAB,physiochemical,0.8,1234,8,11.18491147,0.38870337,11.68772149,11.77609688,0.243951437
channelAB,physiochemical,0.8,1234,9,12.10181042,0.327564559,12.3268806,10.25965205,0.538909153
channelAB,physiochemical,0.8,1234,10,11.33671803,0.388294025,11.6411939,11.71682845,0.075482695
8_angstrom,physiochemical,0.7,1234,1,12.75312876,0.370373517,12.98521198,10.13446912,0.31510467
8_angstrom,physiochemical,0.7,1234,2,11.41539018,0.374801007,11.8891765,13.16601026,0.128090286
8_angstrom,physiochemical,0.7,1234,3,10.2944013,0.464593624,11.00989861,15.82661031,0.006871738
8_angstrom,physiochemical,0.7,1234,4,12.3471512,0.290122567,12.7232898,11.77871423,0.343387752
8_angstrom,physiochemical,0.7,1234,5,11.63681522,0.395161335,11.95961221,12.64424943,0.084326985
