Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Moritella sp. JT01,756698.3,fig|756698.3.peg.3340,AKG98_3345,,"Haloalkane dehalogenase-like protein",879,292,292,78,96,100,1,292,488,4e-174
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.400,OZSIB_0383,,"Haloalkane dehalogenase-like protein",918,305,305,55,93,93,10,292,337,4e-114
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1838,DRH30_08875,,"Haloalkane dehalogenase-like protein",891,296,296,51,95,98,5,293,322,1e-108
Vulcaniibacterium thermophilum strain KCTC 32020,1169913.3,fig|1169913.3.peg.1565,,,"Haloalkane dehalogenase-like protein",948,315,315,54,93,90,20,303,314,5e-105
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.4701,DRH90_20595,,"Haloalkane dehalogenase-like protein",915,304,304,48,95,95,14,302,295,5e-98
Desulfobulbaceae bacterium BRH_c16a,1629713.5,fig|1629713.5.peg.4850,VR65_10445,,"Haloalkane dehalogenase-like protein",882,293,293,47,93,95,6,283,266,1e-86
Epsilonproteobacteria bacterium strain B11_G4,2026809.16,fig|2026809.16.peg.2168,DRQ88_10760,,"Haloalkane dehalogenase-like protein",846,281,281,43,93,98,6,280,264,6e-86
Verrucomicrobia bacterium strain B12_G4,2026799.183,fig|2026799.183.peg.458,DRP71_02105,,"Haloalkane dehalogenase-like protein",900,299,299,43,94,94,20,299,252,4e-81
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.2863,DP2632,,"Haloalkane dehalogenase-like protein",867,288,288,44,94,98,3,283,251,7e-81
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.560,Cagg_0552,,"Haloalkane dehalogenase-like protein",885,294,294,44,96,96,12,294,238,1e-75
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.2558,Isop_2006,,"Haloalkane dehalogenase-like protein",966,321,321,40,92,87,24,303,222,3e-69
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.452,DRH30_02200,,"Haloalkane dehalogenase-like protein",951,316,316,38,92,89,13,294,200,1e-60
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1748,DRH30_08455,,"hypothetical protein",822,273,273,34,89,99,1,271,171,3e-50
Salinibacterium sp. UTAS2018,2508880.3,fig|2508880.3.peg.321,ESZ53_01600,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",2829,942,942,30,84,28,40,304,136,1e-34
Paeniglutamicibacter gangotriensis strain ANT_H27,254787.3,fig|254787.3.peg.2963,FQ154_13795,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",2589,862,862,31,81,28,53,292,123,3e-30
Psychrobacter cibarius strain W1,282669.3,fig|282669.3.peg.967,,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",3138,1045,1045,29,81,23,203,445,111,3e-26
