Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Janthinobacterium sp. CG3","1075768.5","APFF01000018","fig|1075768.5.peg.618",,"VBIJanSp232112_0618","PATRIC.1075768.5.APFF01000018.CDS.25208.26887.rev","PATRIC","CDS",25208,26887,1680,"-","FIG00018699","PLF_29580_00034751","PGF_00734739",,559,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain-fatty-acid-CoA ligase activity"
"Janthinobacterium sp. CG3","1075768.5","APFF01000025","fig|1075768.5.peg.1427",,"VBIJanSp232112_1427","PATRIC.1075768.5.APFF01000025.CDS.108567.110474.fwd","PATRIC","CDS",108567,110474,1908,"+","FIG00138978","PLF_29580_00001825","PGF_09996901",,635,,"Propionate--CoA ligase (EC 6.2.1.17)","GO:0050218|propionate-CoA ligase activity"
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000005","fig|1123057.7.peg.707","P872_14925","VBIRhoPsy326427_0707","PATRIC.1123057.7.AWXR01000005.CDS.64507.68598.rev","PATRIC","CDS",64507,68598,4092,"-","FIG00018699",,"PGF_10503453","ERM84336.1",1363,,"Polyketide synthase modules and related proteins",
"Vulcaniibacterium thermophilum strain KCTC 32020","1169913.3","VOHJ01000003","fig|1169913.3.peg.1563",,,"PATRIC.1169913.3.VOHJ01000003.CDS.21917.23632.rev","PATRIC","CDS",21917,23632,1716,"-",,,"PGF_00013971",,571,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000005","fig|1220571.3.peg.1241",,,"PATRIC.1220571.3.BCRP01000005.CDS.142656.144296.rev","PATRIC","CDS",142656,144296,1641,"-","FIG00018699","PLF_29330_00013306","PGF_00734739",,546,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000007","fig|1220571.3.peg.1542",,,"PATRIC.1220571.3.BCRP01000007.CDS.30998.32956.rev","PATRIC","CDS",30998,32956,1959,"-","FIG00022631","PLF_29330_00000035","PGF_10523783",,652,,"Acetyl-CoA synthetase (EC 6.2.1.1)","GO:0003987|acetate-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000011","fig|1220571.3.peg.2167",,,"PATRIC.1220571.3.BCRP01000011.CDS.57917.59479.rev","PATRIC","CDS",57917,59479,1563,"-","FIG00018699","PLF_29330_00013225","PGF_00734739",,520,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000013","fig|1220571.3.peg.2395",,,"PATRIC.1220571.3.BCRP01000013.CDS.69837.71321.fwd","PATRIC","CDS",69837,71321,1485,"+","FIG00018699","PLF_29330_00023089","PGF_00734739",,494,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000016","fig|1220571.3.peg.2609",,,"PATRIC.1220571.3.BCRP01000016.CDS.28164.29837.fwd","PATRIC","CDS",28164,29837,1674,"+","FIG00018699","PLF_29330_00017621","PGF_00734739",,557,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000021","fig|1220571.3.peg.2897",,,"PATRIC.1220571.3.BCRP01000021.CDS.2774.4729.fwd","PATRIC","CDS",2774,4729,1956,"+","FIG00022631","PLF_29330_00000035","PGF_10523783",,651,,"Acetyl-CoA synthetase (EC 6.2.1.1)","GO:0003987|acetate-CoA ligase activity"
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000026","fig|1220571.3.peg.3115",,,"PATRIC.1220571.3.BCRP01000026.CDS.28139.29782.rev","PATRIC","CDS",28139,29782,1644,"-","FIG00018699","PLF_29330_00003810","PGF_00734739",,547,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000029","fig|1629713.5.peg.4851","VR65_10450",,"PATRIC.1629713.5.LADS01000029.CDS.113472.115100.fwd","PATRIC","CDS",113472,115100,1629,"+",,,"PGF_00013971",,542,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.2862","DP2631","VBIDesPsy67261_2862","PATRIC.177439.6.NC_006138.CDS.2992150.2993775.rev","PATRIC","CDS",2992150,2993775,1626,"-","FIG00023355",,"PGF_00013971","YP_066367.1",541,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.597","DP0555","VBIDesPsy67261_0597","PATRIC.177439.6.NC_006138.CDS.605075.606724.rev","PATRIC","CDS",605075,606724,1650,"-","FIG00018699",,"PGF_00734739","YP_064291.1",549,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000278","fig|2019672.3.peg.3120","CEN39_11735",,"PATRIC.2019672.3.NMQK01000278.CDS.5670.13004.fwd","PATRIC","CDS",5670,13004,7335,"+","FIG00018699","PLF_1190_00000946","PGF_10503453",,2444,,"Polyketide synthase modules and related proteins",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000278","fig|2019672.3.peg.3115","CEN39_11710",,"PATRIC.2019672.3.NMQK01000278.CDS.623.2197.fwd","PATRIC","CDS",623,2197,1575,"+","FIG00018699","PLF_1190_00018431","PGF_00734739",,524,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000828","fig|2019672.3.peg.1313","CEN39_28320",,"PATRIC.2019672.3.NMQK01000828.CDS.5818.11163.fwd","PATRIC","CDS",5818,11163,5346,"+","FIG00018699","PLF_1190_00027786","PGF_10503453",,1781,,"Polyketide synthase modules and related proteins",
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000096","fig|2026735.148.peg.1348","DRH30_06565",,"PATRIC.2026735.148.QMMA01000096.CDS.2404.3969.rev","PATRIC","CDS",2404,3969,1566,"-","FIG00018699",,"PGF_00734739",,521,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000120","fig|2026735.148.peg.1583","DRH30_07685",,"PATRIC.2026735.148.QMMA01000120.CDS.5685.7214.fwd","PATRIC","CDS",5685,7214,1530,"+","FIG00018699",,"PGF_00734739",,509,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000150","fig|2026735.148.peg.1839","DRH30_08880",,"PATRIC.2026735.148.QMMA01000150.CDS.2064.3719.fwd","PATRIC","CDS",2064,3719,1656,"+","FIG00023355",,"PGF_00013971",,551,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000101","fig|2026735.166.peg.2288","DRH90_10210",,"PATRIC.2026735.166.QMMS01000101.CDS.8074.9588.fwd","PATRIC","CDS",8074,9588,1515,"+",,,"PGF_00734739",,504,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000106","fig|2026735.166.peg.2351","DRH90_10510",,"PATRIC.2026735.166.QMMS01000106.CDS.10862.12418.rev","PATRIC","CDS",10862,12418,1557,"-",,,"PGF_00734739",,518,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000183","fig|2026735.166.peg.3206","DRH90_14250",,"PATRIC.2026735.166.QMMS01000183.CDS.1952.3466.fwd","PATRIC","CDS",1952,3466,1515,"+",,,"PGF_00734739",,504,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000269","fig|2026735.166.peg.3929","DRH90_17315",,"PATRIC.2026735.166.QMMS01000269.CDS.914.2659.fwd","PATRIC","CDS",914,2659,1746,"+",,,"PGF_00734739",,581,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000270","fig|2026735.166.peg.3936","DRH90_17350",,"PATRIC.2026735.166.QMMS01000270.CDS.1618.3321.fwd","PATRIC","CDS",1618,3321,1704,"+",,,"PGF_00734739",,567,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000388","fig|2026735.166.peg.4700","DRH90_20590",,"PATRIC.2026735.166.QMMS01000388.CDS.1667.3334.rev","PATRIC","CDS",1667,3334,1668,"-",,,"PGF_00013971",,555,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000551","fig|2026735.166.peg.5414","DRH90_23600",,"PATRIC.2026735.166.QMMS01000551.CDS.1086.2783.fwd","PATRIC","CDS",1086,2783,1698,"+",,,"PGF_00734739",,565,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000004","fig|2026799.183.peg.320","DRP71_01465",,"PATRIC.2026799.183.QNAI01000004.CDS.17464.19143.rev","PATRIC","CDS",17464,19143,1680,"-","FIG00023355",,"PGF_00013971",,559,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000170","fig|2026799.183.peg.3129","DRP71_14430",,"PATRIC.2026799.183.QNAI01000170.CDS.6596.7780.rev","PATRIC","CDS",6596,7780,1185,"-","FIG00023355",,"PGF_00013971",,394,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000038","fig|2026809.16.peg.1841","DRQ88_09140",,"PATRIC.2026809.16.QNFX01000038.CDS.4960.7644.fwd","PATRIC","CDS",4960,7644,2685,"+","FIG00018699",,,,894,,"hypothetical protein",
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000054","fig|2026809.16.peg.2169","DRQ88_10765",,"PATRIC.2026809.16.QNFX01000054.CDS.5953.7545.fwd","PATRIC","CDS",5953,7545,1593,"+","FIG00023355",,"PGF_00013971",,530,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000006","fig|2268124.3.peg.3204","OZSIB_3133",,"PATRIC.2268124.3.QOQW01000006.CDS.50904.54344.rev","PATRIC","CDS",50904,54344,3441,"-","FIG00018699",,"PGF_00102814",,1146,,"Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)","GO:0008779|acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity;GO:0008922|long-chain fatty acid [acyl-carrier-protein] ligase activity"
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000016","fig|2268124.3.peg.399","OZSIB_0382",,"PATRIC.2268124.3.QOQW01000016.CDS.34808.36454.rev","PATRIC","CDS",34808,36454,1647,"-","FIG00023355",,"PGF_00013971",,548,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000038","fig|2268124.3.peg.3813","OZSIB_3727",,"PATRIC.2268124.3.QOQW01000038.CDS.16887.18623.fwd","PATRIC","CDS",16887,18623,1737,"+","FIG00018699",,"PGF_07607752",,578,,"4-coumarate--CoA ligase 1 (EC 6.2.1.12)","GO:0016207|4-coumarate-CoA ligase activity"
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.2651","EBB79_12370",,"PATRIC.2483033.3.CP033219.CDS.2524628.2526187.rev","PATRIC","CDS",2524628,2526187,1560,"-",,,"PGF_00734739",,519,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.4266","EBB79_19940",,"PATRIC.2483033.3.CP033219.CDS.4091402.4092940.rev","PATRIC","CDS",4091402,4092940,1539,"-",,,"PGF_00400650",,512,,"Benzoate--CoA ligase (EC 6.2.1.25)","GO:0018858|benzoate-CoA ligase activity"
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.4325","EBB79_20235",,"PATRIC.2483033.3.CP033219.CDS.4150758.4152272.rev","PATRIC","CDS",4150758,4152272,1515,"-",,,"PGF_00734739",,504,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Salinibacterium sp. UTAS2018","2508880.3","CP035375","fig|2508880.3.peg.321","ESZ53_01600",,"PATRIC.2508880.3.CP035375.CDS.342261.345089.rev","PATRIC","CDS",342261,345089,2829,"-",,"PLF_235888_00001160","PGF_01964713",,942,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000002","fig|254787.3.peg.595","FQ154_02875",,"PATRIC.254787.3.VOBL01000002.CDS.192291.193979.rev","PATRIC","CDS",192291,193979,1689,"-",,,"PGF_00734739",,562,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000012","fig|254787.3.peg.2592","FQ154_12135",,"PATRIC.254787.3.VOBL01000012.CDS.51127.52680.fwd","PATRIC","CDS",51127,52680,1554,"+",,,"PGF_00734739",,517,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000015","fig|254787.3.peg.2963","FQ154_13795",,"PATRIC.254787.3.VOBL01000015.CDS.27651.30239.fwd","PATRIC","CDS",27651,30239,2589,"+",,,"PGF_01964713",,862,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000099","fig|282669.3.peg.967",,,"PATRIC.282669.3.CZJV01000099.CDS.52086.55223.rev","PATRIC","CDS",52086,55223,3138,"-","FIG00739596","PLF_497_00012364","PGF_01964713",,1045,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000199","fig|282669.3.peg.2779",,,"PATRIC.282669.3.CZJV01000199.CDS.8652.10166.rev","PATRIC","CDS",8652,10166,1515,"-","FIG00018699","PLF_497_00004305","PGF_00734739",,504,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain fatty acid-CoA ligase activity"
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.2618","Cagg_2527","VBIChlAgg85409_2618","PATRIC.326427.4.NC_011831.CDS.3076424.3077938.rev","PATRIC","CDS",3076424,3077938,1515,"-","FIG00018699","PLF_1107_00000882","PGF_00004121","YP_002463834.1",504,,"Fatty-acid-CoA ligase FadD7",
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.3447","Cagg_3345","VBIChlAgg85409_3447","PATRIC.326427.4.NC_011831.CDS.4057473.4059206.rev","PATRIC","CDS",4057473,4059206,1734,"-","FIG00018699","PLF_1107_00001045","PGF_00734739","YP_002464625.1",577,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain-fatty-acid-CoA ligase activity"
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.3897","Cagg_3776","VBIChlAgg85409_3897","PATRIC.326427.4.NC_011831.CDS.4606345.4607853.rev","PATRIC","CDS",4606345,4607853,1509,"-","FIG00018699","PLF_1107_00001047","PGF_00734739","YP_002465048.1",502,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","GO:0004467|long-chain-fatty-acid-CoA ligase activity"
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.558","Cagg_0550","VBIChlAgg85409_0558","PATRIC.326427.4.NC_011831.CDS.668754.670448.rev","PATRIC","CDS",668754,670448,1695,"-","FIG00023355","PLF_1107_00000522","PGF_00013971","YP_002461925.1",564,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.1344","Isop_1050","VBIIsoPal14453_1344","PATRIC.575540.3.NC_014962.CDS.1508904.1510682.rev","PATRIC","CDS",1508904,1510682,1779,"-","FIG00023355",,"PGF_00013971","YP_004178187.1",592,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Oleispira antarctica RB-8","698738.7","FO203512","fig|698738.7.peg.1807","OLEAN_C17450",,"PATRIC.698738.7.FO203512.CDS.1909164.1910828.rev","PATRIC","CDS",1909164,1910828,1665,"-",,"PLF_188907_00002669","PGF_00013971",,554,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3341","AKG98_3346",,"PATRIC.756698.3.LOCN01000006.CDS.36478.38214.fwd","PATRIC","CDS",36478,38214,1737,"+","FIG00023355","PLF_58050_00003238","PGF_00013971",,578,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
