Gene	Size	Homolog	Organism	Accession	ID/Sim	Function
ebeA	3192	PKS	Streptomyces avermitilis	NP_821594	58/68	PKS
ebeB	6615	PKS	Streptomyces platensis	BAH02268	57/67	PKS
ebeC	4761	PKS	Streptomyces sp. MG1	ZP_05000638	57/67	PKS
ebeD	2154	PKS	Streptomyces violaceusniger	YP_004815656	63/75	PKS
ebeE	2130	PKS	Streptomyces bingchenggensis	YP_004959634.1	48/61	PKS
ebeF	7410	PKS	Streptomyces lasaliensis	CAQ6487.1	55/65	PKS
ebeG	6536	PKS	Streptomyces lydicus	CBA11583.1	57/68	PKS
orf1	1698	Adenylation	Streptomyces auratus	ZP_10549985.1	65/76	Adenylation
orf2	876	Reductase	Streptosporangium roseum	YP_003341831.1	81/89	Reductase
orf3	807	Hypothetical protein	Kitasatospora setae	YP_004902238.1	62/71	Hypothetical protein
