Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Janthinobacterium sp. CG3","1075768.5","APFF01000027","fig|1075768.5.peg.2737",,"VBIJanSp232112_2737","PATRIC.1075768.5.APFF01000027.CDS.581657.582643.rev","PATRIC","CDS",581657,582643,987,"-","FIG00015100","PLF_29580_00000103","PGF_00420953",,328,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Janthinobacterium sp. CG3","1075768.5","APFF01000030","fig|1075768.5.peg.3519",,"VBIJanSp232112_3519","PATRIC.1075768.5.APFF01000030.CDS.472380.473372.rev","PATRIC","CDS",472380,473372,993,"-","FIG00039538","PLF_29580_00002657","PGF_00420853",,330,,"3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)","GO:0004315|3-oxoacyl-[acyl-carrier-protein] synthase activity"
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000003","fig|1123057.7.peg.425","P872_24500","VBIRhoPsy326427_0425","PATRIC.1123057.7.AWXR01000003.CDS.71555.72553.fwd","PATRIC","CDS",71555,72553,999,"+","FIG00015100",,"PGF_00420953","ERM84581.1",332,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000008","fig|1123057.7.peg.1137","P872_01550","VBIRhoPsy326427_1137","PATRIC.1123057.7.AWXR01000008.CDS.91517.92575.fwd","PATRIC","CDS",91517,92575,1059,"+","FIG00015100",,,"ERM83973.1",352,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000010","fig|1123057.7.peg.1383","P872_02740","VBIRhoPsy326427_1383","PATRIC.1123057.7.AWXR01000010.CDS.87158.88156.rev","PATRIC","CDS",87158,88156,999,"-","FIG00015100",,"PGF_00420953","ERM83736.1",332,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000015","fig|1123057.7.peg.1800","P872_16585","VBIRhoPsy326427_1800","PATRIC.1123057.7.AWXR01000015.CDS.60438.61514.rev","PATRIC","CDS",60438,61514,1077,"-","FIG00015100",,"PGF_00420953","ERM83295.1",358,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Vulcaniibacterium thermophilum strain KCTC 32020","1169913.3","VOHJ01000001","fig|1169913.3.peg.199",,,"PATRIC.1169913.3.VOHJ01000001.CDS.205566.206546.fwd","PATRIC","CDS",205566,206546,981,"+",,,"PGF_00420953",,326,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Vulcaniibacterium thermophilum strain KCTC 32020","1169913.3","VOHJ01000018","fig|1169913.3.peg.856",,,"PATRIC.1169913.3.VOHJ01000018.CDS.31281.32303.fwd","PATRIC","CDS",31281,32303,1023,"+",,,"PGF_00420609",,340,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000003","fig|1220571.3.peg.752",,,"PATRIC.1220571.3.BCRP01000003.CDS.147198.148181.rev","PATRIC","CDS",147198,148181,984,"-","FIG00015100","PLF_29330_00013110","PGF_00420953",,327,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000039","fig|1629713.5.peg.2518","VR65_14505",,"PATRIC.1629713.5.LADS01000039.CDS.161277.162314.fwd","PATRIC","CDS",161277,162314,1038,"+",,,"PGF_00420609",,345,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000069","fig|1629713.5.peg.1677","VR65_27605",,"PATRIC.1629713.5.LADS01000069.CDS.18237.19211.rev","PATRIC","CDS",18237,19211,975,"-",,,"PGF_00420953",,324,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.3031","DP2793","VBIDesPsy67261_3031","PATRIC.177439.6.NC_006138.CDS.3154154.3155128.rev","PATRIC","CDS",3154154,3155128,975,"-","FIG00015100",,"PGF_00420953","YP_066529.1",324,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.798","DP0741","VBIDesPsy67261_0798","PATRIC.177439.6.NC_006138.CDS.835818.836714.fwd","PATRIC","CDS",835818,836714,897,"+","FIG00152177",,"PGF_00420609","YP_064477.1",298,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000025","fig|2019672.3.peg.2803","CEN39_01180",,"PATRIC.2019672.3.NMQK01000025.CDS.7142.8137.fwd","PATRIC","CDS",7142,8137,996,"+","FIG00015100","PLF_1190_00020527","PGF_00420953",,331,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000093","fig|2019672.3.peg.281","CEN39_03760",,"PATRIC.2019672.3.NMQK01000093.CDS.21255.22247.fwd","PATRIC","CDS",21255,22247,993,"+","FIG00015100","PLF_1190_00000247","PGF_00420953",,330,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000060","fig|2026735.148.peg.935","DRH30_04570",,"PATRIC.2026735.148.QMMA01000060.CDS.3260.4360.rev","PATRIC","CDS",3260,4360,1101,"-","FIG00135993",,"PGF_00012930",,366,,"Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)","GO:0004421|hydroxymethylglutaryl-CoA synthase activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000150","fig|2026735.148.peg.1837","DRH30_08870",,"PATRIC.2026735.148.QMMA01000150.CDS.153.1169.fwd","PATRIC","CDS",153,1169,1017,"+","FIG00152177",,"PGF_00420609",,338,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
