molecule,genus,gene,start,end,strand,direction,difference
1075768.5.peg.2737_Janthinobacterium_psychrophile,Janthinobacterium,oleA,581657,582643,reverse,-1,0
1123057.7.peg.1800_Rhodonellum_psychrophile,Rhodonellum,oleA,60438,61514,reverse,-1,0
1169913.3.peg.856_Vulcaniibacterium_thermophile,Vulcaniibacterium,oleA,31281,32303,forward,1,0
1169913.3.peg.856_Vulcaniibacterium_thermophile,Vulcaniibacterium,oleB,24218,25165,reverse,-1,-7063
1169913.3.peg.856_Vulcaniibacterium_thermophile,Vulcaniibacterium,oleC,21917,23632,reverse,-1,-9364
1169913.3.peg.856_Vulcaniibacterium_thermophile,Vulcaniibacterium,oleD,20176,21162,reverse,-1,-11105
1220571.3.peg.752_Alicyclobacillus_thermophile,Alicyclobacillus,oleA,147198,148181,reverse,-1,0
1629713.5.peg.2518_Desulfobulbaceae_psychrophile,Desulfobulbaceae,oleA,161277,162314,forward,1,0
177439.6.peg.798_Desulfotalea_psychrophile,Desulfotalea,oleA,835818,836714,forward,1,0
2019672.3.peg.2803_Fischerella_thermophile,Fischerella,oleA,7142,8137,forward,1,0
2019672.3.peg.2803_Fischerella_thermophile,Fischerella,oleB,1272,2153,forward,1,-5870
2019672.3.peg.2803_Fischerella_thermophile,Fischerella,oleC,623,2197,forward,1,-6519
2019672.3.peg.2803_Fischerella_thermophile,Fischerella,oleD,14431,15420,forward,1,7289
2026735.148.peg.1837_Deltaproteobacteria_thermophile,Deltaproteobacteria1,oleA,153,1169,forward,1,0
2026735.148.peg.1837_Deltaproteobacteria_thermophile,Deltaproteobacteria1,oleB,1177,2067,forward,1,1024
2026735.148.peg.1837_Deltaproteobacteria_thermophile,Deltaproteobacteria1,oleC,2064,3719,forward,1,1911
2026735.148.peg.1837_Deltaproteobacteria_thermophile,Deltaproteobacteria1,oleD,3716,4708,forward,1,3563
2026735.166.peg.848_Deltaproteobacteria_thermophile,Deltaproteobacteria2,oleA,7067,8080,reverse,-1,0
2026735.166.peg.848_Deltaproteobacteria_thermophile,Deltaproteobacteria2,oleB,3468,4382,reverse,-1,-3599
2026735.166.peg.848_Deltaproteobacteria_thermophile,Deltaproteobacteria2,oleC,1667,3334,reverse,-1,-5400
2026735.166.peg.848_Deltaproteobacteria_thermophile,Deltaproteobacteria2,oleD,636,1670,reverse,-1,-6431
2026799.183.peg.457_Verrucomicrobia_thermophile,Verrucomicrobia,oleA,13063,14091,forward,1,0
2026799.183.peg.457_Verrucomicrobia_thermophile,Verrucomicrobia,oleB,14085,14984,forward,1,1022
2026799.183.peg.457_Verrucomicrobia_thermophile,Verrucomicrobia,oleC,17464,19143,reverse,-1,4401
2026799.183.peg.457_Verrucomicrobia_thermophile,Verrucomicrobia,oleD,16427,17464,reverse,-1,3364
2026809.16.peg.2167_Epsilonproteobacteria_thermophile,Epsilonproteobacteria,oleA,4086,5117,forward,1,0
2026809.16.peg.2167_Epsilonproteobacteria_thermophile,Epsilonproteobacteria,oleB,5111,5956,forward,1,1025
2026809.16.peg.2167_Epsilonproteobacteria_thermophile,Epsilonproteobacteria,oleC,5953,7545,forward,1,1867
2026809.16.peg.2167_Epsilonproteobacteria_thermophile,Epsilonproteobacteria,oleD,7542,8531,forward,1,3456
2268124.3.peg.401_Candidatus_thermophile,Candidatus,oleA,37434,38474,reverse,-1,0
2268124.3.peg.401_Candidatus_thermophile,Candidatus,oleB,36523,37440,reverse,-1,-911
2268124.3.peg.401_Candidatus_thermophile,Candidatus,oleC,34808,36454,reverse,-1,-2626
2268124.3.peg.401_Candidatus_thermophile,Candidatus,oleD,33667,34719,reverse,-1,-3767
2483033.3.peg.4057_Sedimentitalea_psychrophile,Sedimentitalea,oleA,3887863,3888915,reverse,-1,0
2483033.3.peg.4057_Sedimentitalea_psychrophile,Sedimentitalea,oleD,3886874,3887860,reverse,-1,-989
2508880.3.peg.322_Salinibacterium_psychrophile,Salinibacterium,oleA,345083,345952,reverse,-1,0
2508880.3.peg.322_Salinibacterium_psychrophile,Salinibacterium,oleB,342261,345089,reverse,-1,-2822
2508880.3.peg.322_Salinibacterium_psychrophile,Salinibacterium,oleC,342261,345089,reverse,-1,-2822
2508880.3.peg.322_Salinibacterium_psychrophile,Salinibacterium,oleD,341278,342264,reverse,-1,-3805
254787.3.peg.2962_Paeniglutamicibacter_psychrophile,Paeniglutamicibacter,oleA,26629,27654,forward,1,0
254787.3.peg.2962_Paeniglutamicibacter_psychrophile,Paeniglutamicibacter,oleB,27651,30239,forward,1,1022
254787.3.peg.2962_Paeniglutamicibacter_psychrophile,Paeniglutamicibacter,oleC,27651,30239,forward,1,1022
254787.3.peg.2962_Paeniglutamicibacter_psychrophile,Paeniglutamicibacter,oleD,30236,31264,forward,1,3607
282669.3.peg.967_Psychrobacter_psychrophile,Psychrobacter,oleA,52086,55223,reverse,-1,0
282669.3.peg.967_Psychrobacter_psychrophile,Psychrobacter,oleB,52086,55223,reverse,-1,0
282669.3.peg.967_Psychrobacter_psychrophile,Psychrobacter,oleC,52086,55223,reverse,-1,0
282669.3.peg.967_Psychrobacter_psychrophile,Psychrobacter,oleD,50761,52089,reverse,-1,-1325
326427.4.peg.556_Chloroflexus_thermophile,Chloroflexus,oleA,666456,667475,reverse,-1,0
326427.4.peg.556_Chloroflexus_thermophile,Chloroflexus,oleB,672533,673417,reverse,-1,6077
326427.4.peg.556_Chloroflexus_thermophile,Chloroflexus,oleC,668754,670448,reverse,-1,2298
326427.4.peg.556_Chloroflexus_thermophile,Chloroflexus,oleD,667558,668547,reverse,-1,1102
575540.3.peg.2557_Isosphaera_thermophile,Isosphaera,oleA,2929241,2930296,forward,1,0
575540.3.peg.2557_Isosphaera_thermophile,Isosphaera,oleB,2930296,2931261,forward,1,1055
698738.7.peg.1803_Oleispira_psychrophile,Oleispira,oleA,1905217,1906254,reverse,-1,0
698738.7.peg.1803_Oleispira_psychrophile,Oleispira,oleC,1909164,1910828,reverse,-1,3947
698738.7.peg.1803_Oleispira_psychrophile,Oleispira,oleD,1907816,1908841,reverse,-1,2599
756698.3.peg.3339_Moritella_psychrophile,Moritella,oleA,34540,35589,forward,1,0
756698.3.peg.3339_Moritella_psychrophile,Moritella,oleB,35594,36472,forward,1,1054
756698.3.peg.3339_Moritella_psychrophile,Moritella,oleC,36478,38214,forward,1,1938
756698.3.peg.3339_Moritella_psychrophile,Moritella,oleD,38240,39307,forward,1,3700
