Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas arctica DSM 14288","1123036.3","AXWP01000031","fig|1123036.3.peg.2500",,"VBIPsyArc272619_2500","PATRIC.1123036.3.AXWP01000031.CDS.1843.3543.rev","PATRIC","CDS",1843,3543,1701,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,566,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Lysobacter sp. A03","1199154.3","JXSS01000090","fig|1199154.3.peg.1395","TI01_1854",,"PATRIC.1199154.3.JXSS01000090.CDS.16334.18079.fwd","PATRIC","CDS",16334,18079,1746,"+","FIG00023355","PLF_68_00000167","PGF_00013971",,581,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Moritella dasanensis ArB 0140","1201293.3","AKXQ01000010","fig|1201293.3.peg.1995",,"VBIMorDas242841_1995","PATRIC.1201293.3.AKXQ01000010.CDS.92410.94137.rev","PATRIC","CDS",92410,94137,1728,"-","FIG00023355","PLF_58050_00003238","PGF_00013971",,575,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Luteimonas abyssi strain XH031","1247514.3","KQ759763","fig|1247514.3.peg.3443",,,"PATRIC.1247514.3.KQ759763.CDS.3827140.3828879.fwd","PATRIC","CDS",3827140,3828879,1740,"+","FIG00023355","PLF_83614_00000267","PGF_00013971",,579,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter sp. H5","1267973.3","AZSC01000204","fig|1267973.3.peg.2765",,"VBIArtSp268450_2765","PATRIC.1267973.3.AZSC01000204.CDS.9086.11611.rev","PATRIC","CDS",9086,11611,2526,"-","FIG00739596","PLF_1663_00001069","PGF_01964713",,841,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter sp. H20","1267981.3","AZRY01000112","fig|1267981.3.peg.1717",,"VBIArtSp268596_1717","PATRIC.1267981.3.AZRY01000112.CDS.3559.6267.fwd","PATRIC","CDS",3559,6267,2709,"+","FIG00739596","PLF_1663_00001069","PGF_01964713",,902,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas hadalis ATCC BAA-638","1278302.3","ATUO01000026","fig|1278302.3.peg.1031",,"VBIPsyHad278212_1031","PATRIC.1278302.3.ATUO01000026.CDS.21938.23614.fwd","PATRIC","CDS",21938,23614,1677,"+","FIG00023355","PLF_67572_00000391","PGF_00013971",,558,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas ossibalaenae ATCC BAA-1528","1278307.3","ARML01000094","fig|1278307.3.peg.2751",,"VBIPsyOss269313_2751","PATRIC.1278307.3.ARML01000094.CDS.2329.3993.rev","PATRIC","CDS",2329,3993,1665,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,554,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas aquimarina ATCC BAA-1526","1278312.3","AUAM01000001","fig|1278312.3.peg.242",,"VBIPsyAqu266451_0242","PATRIC.1278312.3.AUAM01000001.CDS.273772.275436.rev","PATRIC","CDS",273772,275436,1665,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,554,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter sp. Br18","1312954.3","AZSA01000166","fig|1312954.3.peg.2276",,"VBIArtSp288926_2276","PATRIC.1312954.3.AZSA01000166.CDS.6533.9217.rev","PATRIC","CDS",6533,9217,2685,"-","FIG00739596","PLF_1663_00001069","PGF_01964713",,894,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. SP041","1365007.3","CBRF010000135","fig|1365007.3.peg.1423",,"VBIPsySp313211_1423","PATRIC.1365007.3.CBRF010000135.CDS.9591.11300.fwd","PATRIC","CDS",9591,11300,1710,"+","FIG00023355","PLF_67572_00000391","PGF_00013971",,569,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
