Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Janthinobacterium sp. CG3","1075768.5","APFF01000030","fig|1075768.5.peg.3518",,"VBIJanSp232112_3518","PATRIC.1075768.5.APFF01000030.CDS.471352.472383.rev","PATRIC","CDS",471352,472383,1032,"-","FIG00007822","PLF_29580_00002665","PGF_00003045",,343,,"FIG036672: Nucleoside-diphosphate-sugar epimerase",
"Rhodonellum psychrophilum DSM 17998 strain GCM71","1123057.7","AWXR01000008","fig|1123057.7.peg.1091","P872_01295","VBIRhoPsy326427_1091","PATRIC.1123057.7.AWXR01000008.CDS.41173.42234.fwd","PATRIC","CDS",41173,42234,1062,"+","FIG00030688",,"PGF_03056683","ERM83923.1",353,,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","GO:0008460|dTDP-glucose 4,6-dehydratase activity"
"Vulcaniibacterium thermophilum strain KCTC 32020","1169913.3","VOHJ01000003","fig|1169913.3.peg.1560",,,"PATRIC.1169913.3.VOHJ01000003.CDS.20176.21162.rev","PATRIC","CDS",20176,21162,987,"-",,,"PGF_00024362",,328,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000010","fig|1220571.3.peg.2095",,,"PATRIC.1220571.3.BCRP01000010.CDS.112209.113216.rev","PATRIC","CDS",112209,113216,1008,"-",,"PLF_29330_00022807","PGF_04316771",,335,,"Hopanoid-associated sugar epimerase HpnA",
"Alicyclobacillus kakegawensis NBRC 103104","1220571.3","BCRP01000015","fig|1220571.3.peg.2517",,,"PATRIC.1220571.3.BCRP01000015.CDS.13565.14524.rev","PATRIC","CDS",13565,14524,960,"-","FIG00022300","PLF_29330_00001077","PGF_01033123",,319,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000004","fig|1629713.5.peg.2978","VR65_02400",,"PATRIC.1629713.5.LADS01000004.CDS.144236.145222.rev","PATRIC","CDS",144236,145222,987,"-",,,,,328,,"Nucleoside-diphosphate-sugar epimerases",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000021","fig|1629713.5.peg.5011","VR65_07900",,"PATRIC.1629713.5.LADS01000021.CDS.4311.5264.fwd","PATRIC","CDS",4311,5264,954,"+",,,"PGF_10462175",,317,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000029","fig|1629713.5.peg.4852","VR65_10455",,"PATRIC.1629713.5.LADS01000029.CDS.115073.116095.fwd","PATRIC","CDS",115073,116095,1023,"+",,,"PGF_00024362",,340,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000031","fig|1629713.5.peg.6118","VR65_11255",,"PATRIC.1629713.5.LADS01000031.CDS.114495.115607.fwd","PATRIC","CDS",114495,115607,1113,"+",,,"PGF_01033123",,370,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000037","fig|1629713.5.peg.6418","VR65_13170",,"PATRIC.1629713.5.LADS01000037.CDS.180531.181511.rev","PATRIC","CDS",180531,181511,981,"-",,,,,326,,"hypothetical protein",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000058","fig|1629713.5.peg.924","VR65_22340",,"PATRIC.1629713.5.LADS01000058.CDS.121773.122807.fwd","PATRIC","CDS",121773,122807,1035,"+",,,"PGF_01033123",,344,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000070","fig|1629713.5.peg.1614","VR65_28240",,"PATRIC.1629713.5.LADS01000070.CDS.59723.60703.fwd","PATRIC","CDS",59723,60703,981,"+",,,,,326,,"hypothetical protein",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.2861","DP2630","VBIDesPsy67261_2861","PATRIC.177439.6.NC_006138.CDS.2991164.2992183.rev","PATRIC","CDS",2991164,2992183,1020,"-","FIG00029869",,"PGF_00024362","YP_066366.1",339,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000156","fig|2019672.3.peg.1635","CEN39_06330",,"PATRIC.2019672.3.NMQK01000156.CDS.196.1200.fwd","PATRIC","CDS",196,1200,1005,"+","FIG00002924","PLF_1190_00001127","PGF_00026445",,334,,"Nucleoside-diphosphate-sugar epimerases",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000417","fig|2019672.3.peg.4567","CEN39_17060",,"PATRIC.2019672.3.NMQK01000417.CDS.14431.15420.fwd","PATRIC","CDS",14431,15420,990,"+","FIG00042188","PLF_1190_00002545","PGF_04316771",,329,,"Hopanoid-associated sugar epimerase HpnA",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000585","fig|2019672.3.peg.6102","CEN39_22710",,"PATRIC.2019672.3.NMQK01000585.CDS.1186.2190.fwd","PATRIC","CDS",1186,2190,1005,"+","FIG00002924","PLF_1190_00002653","PGF_00026445",,334,,"Nucleoside-diphosphate-sugar epimerases",
"Fischerella thermalis CCMEE 5201","2019672.3","NMQK01000728","fig|2019672.3.peg.457","CEN39_26490",,"PATRIC.2019672.3.NMQK01000728.CDS.2948.3955.fwd","PATRIC","CDS",2948,3955,1008,"+","FIG00002924","PLF_1190_00001129","PGF_00026445",,335,,"Nucleoside-diphosphate-sugar epimerases",
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000126","fig|2026735.148.peg.1635","DRH30_07950",,"PATRIC.2026735.148.QMMA01000126.CDS.2912.3976.rev","PATRIC","CDS",2912,3976,1065,"-",,,,,354,,"hypothetical protein",
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000150","fig|2026735.148.peg.1840","DRH30_08885",,"PATRIC.2026735.148.QMMA01000150.CDS.3716.4708.fwd","PATRIC","CDS",3716,4708,993,"+","FIG00029869",,"PGF_00024362",,330,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
