Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas arctica DSM 14288","1123036.3","AXWP01000031","fig|1123036.3.peg.2499",,"VBIPsyArc272619_2499","PATRIC.1123036.3.AXWP01000031.CDS.721.1794.rev","PATRIC","CDS",721,1794,1074,"-","FIG00029869","PLF_67572_00000590","PGF_00024362",,357,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Lysobacter sp. A03","1199154.3","JXSS01000107","fig|1199154.3.peg.2346","TI01_2386",,"PATRIC.1199154.3.JXSS01000107.CDS.2858.3865.fwd","PATRIC","CDS",2858,3865,1008,"+","FIG00029869","PLF_68_00000584","PGF_00024362",,335,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Moritella dasanensis ArB 0140","1201293.3","AKXQ01000010","fig|1201293.3.peg.1994",,"VBIMorDas242841_1994","PATRIC.1201293.3.AKXQ01000010.CDS.91338.92384.rev","PATRIC","CDS",91338,92384,1047,"-","FIG00029869","PLF_58050_00003304","PGF_00024362",,348,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Luteimonas abyssi strain XH031","1247514.3","KQ759763","fig|1247514.3.peg.3444",,,"PATRIC.1247514.3.KQ759763.CDS.3828876.3829886.fwd","PATRIC","CDS",3828876,3829886,1011,"+","FIG00029869","PLF_83614_00000796","PGF_00024362",,336,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Arthrobacter sp. H20","1267981.3","AZRY01000112","fig|1267981.3.peg.1718",,"VBIArtSp268596_1718","PATRIC.1267981.3.AZRY01000112.CDS.6264.7268.fwd","PATRIC","CDS",6264,7268,1005,"+","FIG00029869","PLF_1663_00001423","PGF_00024362",,334,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Psychromonas hadalis ATCC BAA-638","1278302.3","ATUO01000026","fig|1278302.3.peg.1032",,"VBIPsyHad278212_1032","PATRIC.1278302.3.ATUO01000026.CDS.23616.24686.fwd","PATRIC","CDS",23616,24686,1071,"+","FIG00029869","PLF_67572_00000590","PGF_00024362",,356,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Psychromonas ossibalaenae ATCC BAA-1528","1278307.3","ARML01000094","fig|1278307.3.peg.2750",,"VBIPsyOss269313_2750","PATRIC.1278307.3.ARML01000094.CDS.1250.2314.rev","PATRIC","CDS",1250,2314,1065,"-","FIG00029869","PLF_67572_00000590","PGF_00024362",,354,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Psychromonas aquimarina ATCC BAA-1526","1278312.3","AUAM01000001","fig|1278312.3.peg.241",,"VBIPsyAqu266451_0241","PATRIC.1278312.3.AUAM01000001.CDS.272692.273756.rev","PATRIC","CDS",272692,273756,1065,"-","FIG00029869","PLF_67572_00000590","PGF_00024362",,354,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Arthrobacter sp. H41","1312978.3","AZRZ01000332","fig|1312978.3.peg.2201",,"VBIArtSp298655_2201","PATRIC.1312978.3.AZRZ01000332.CDS.6928.7866.rev","PATRIC","CDS",6928,7866,939,"-","FIG00029869","PLF_1663_00001423","PGF_00024362",,312,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Psychromonas sp. SP041","1365007.3","CBRF010000135","fig|1365007.3.peg.1425",,"VBIPsySp313211_1425","PATRIC.1365007.3.CBRF010000135.CDS.11550.12617.fwd","PATRIC","CDS",11550,12617,1068,"+","FIG00029869","PLF_67572_00000590","PGF_00024362",,355,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
