name,start,end,strand,col,fill,lty,lwd,pch,cex,gene_type,x,y
beta-ketoacyl-ACP-synthase III,10,374,1,#A6CEE3,#A6CEE3,1,1,8,1,headless_arrows,0.031563373,0.4
beta-ketoacyl-ACP-synthase III,384,673,1,#3385BB,#3385BB,1,1,8,1,headless_arrows,0.086881473,0.4
acyl-coA synthetase,683,1558,1,#84BF96,#84BF96,1,1,8,1,headless_arrows,0.184201874,0.4
dehydrogenase/isomerase,1568,2132,1,#6DBD57,#6DBD57,1,1,8,1,headless_arrows,0.304126253,0.4
NRPS,2142,3724,1,#7F9D55,#7F9D55,1,1,8,1,headless_arrows,0.482163406,0.4
Formyltransferase,3734,3965,1,#F57C7C,#F57C7C,1,1,8,1,headless_arrows,0.632829196,0.4
Unknown,3975,4182,1,#E42622,#E42622,1,1,8,1,headless_arrows,0.670475095,0.4
TetR family regulator,4192,4395,1,#FBB268,#FBB268,1,1,8,1,headless_arrows,0.705819497,0.4
Putative dehydrogenase,4405,4712,1,#FE8D19,#FE8D19,1,1,8,1,headless_arrows,0.749383528,0.4
Putative thioesterase,4722,4991,1,#DE9E83,#DE9E83,1,1,8,1,headless_arrows,0.798372514,0.4
Transcriptional regulator,5001,5299,1,#9D7BBA,#9D7BBA,1,1,8,1,headless_arrows,0.846621733,0.4
Putative dehydrogenase,5309,5509,1,#977899,#977899,1,1,8,1,headless_arrows,0.889199408,0.4
Unknown,5519,5676,1,#F3E587,#F3E587,1,1,8,1,headless_arrows,0.920187408,0.4
Putative esterase,5686,6083,1,#B15928,#B15928,1,1,8,1,headless_arrows,0.967368075,0.4
