,Sequence,Topt,Std err
0,NP_635607.1 3-oxoacyl-ACP synthase [Xanthomonas campestris pv. campestris str. ATCC 33913],29.98,0.512733849087419
1,WP_026204600.1_Actinomycetospora_chiangmaiensis,37.4,1.2108468111202177
2,WP_097326105.1_Actinoplanes_atraurantiacus,41.105,1.2865126311078332
3,WP_086990725.1_Agrococcus_casei,36.66,1.445767616181798
4,WP_030433686.1_Allokutzneria_albata,33.62,0.7635155532142092
5,WP_084558798.1_Anaerocolumna_xylanovorans,34.895,1.0794974525213108
6,WP_090596165.1_Auraticoccus_monumenti,34.49,1.3141343158140264
7,WP_095301808.1_Bacillus_sp._7586-K,33.795,0.9914911749481188
8,WP_021267235.1_Bacteriovorax_sp._BAL6_X,35.895,1.1085191698838595
9,WP_073399371.1_Bacteroides_luti,34.255,0.8621338353179278
10,WP_096166078.1_Brachybacterium_alimentarium,36.815,1.3334851892690822
11,WP_068712879.1_Cephaloticoccus_capnophilus,32.01,0.9209229066539718
12,WP_088206054.1_Chlamydiales_bacterium_SCGC_AG-110-P3,31.115,0.6294384401988808
13,WP_099839552.1_Clostridium_combesii,35.625,1.2239766133386698
14,WP_020589018.1_Desulfobacter_curvatus,35.95,1.359200132430836
15,WP_051554118.1_Desulfobulbus_elongatus,34.565,1.1846023594438766
16,WP_088919872.1_Granulosicoccus_antarcticus,31.78,0.9906896587731197
17,WP_026862459.1_Intrasporangiaceae_bacterium_URHB0013,36.42,1.3760399703496984
18,WP_013837355.1_Isoptericola_variabilis,38.055,1.2066460748703407
19,WP_076585679.1_Luteimonas_tolerans,32.585,0.8870753913845201
20,WP_076469753.1_Micromonospora_avicenniae,42.15,1.4626089702993068
21,WP_040156198.1_Mobilicoccus_massiliensis,35.26,1.1445409560168653
22,WP_082133371.1_Mycolicibacterium_obuense,40.57,1.4346257351657965
23,WP_063765283.1_Nonomuraea_candida,37.42,1.5243969299365567
24,WP_090922125.1_Paenibacillus_polysaccharolyticus,34.095,1.028292152065744
25,WP_028865527.1_Psychromonas_aquimarina,34.21,1.05924926244959
26,WP_015101236.1_Saccharothrix_espanaensis,36.925,1.2676232681676372
27,WP_092493676.1_Virgibacillus_salinus,37.35,1.1432082050090433
28,WP_044441590.1_Agreia_bicolorata,35.245,1.0569648764268373
29,WP_003805730.1_Arthrobacter_globiformis,38.41,1.400988579539462
30,WP_005885358.1_Brevibacterium_mcbrellneri,43.135,1.6305498305786301
31,WP_034630949.1_Cellulomonas_cellasea,33.895,0.8368481044968673
32,WP_015490789.1_Clavibacter_michiganensis,35.81,1.3357915256506163
33,WP_028327376.1_Dermatophilus_congolensis,40.155,1.590859751832323
34,WP_012948569.1_Geodermatophilus_obscurus,38.64,1.403871076701846
35,WP_006592558.1_Kineosphaera_limosa,35.2,1.2187698716328699
36,WP_012802190.1_Kytococcus_sedentarius,39.295,1.6278067299283403
37,WP_058441655.1_Legionella_brunensis,37.855,1.4759453750054568
38,WP_013865923.1_Microlunatus_phosphovorus,35.69,1.0404513443693557
39,WP_091632192.1_Micromonospora_peucetia,33.44,0.9776829752020845
40,WP_015749354.1_Nakamurella_multipartita,35.06,1.073179388546016
41,WP_079726385.1_Okibacterium_fritillariae,33.535,0.9633601351519585
42,WP_005508112.1_Rothia_mucilaginosa,34.515,1.0359646470801982
43,WP_012868615.1_Sanguibacter_keddieii,36.305,1.3320640938032973
44,WP_061782733.1_Shewanella_putrefaciens,33.27,1.0423631804702234
45,CVN04163.1_Streptococcus_pneumoniae,43.56,1.793004182928751
46,WP_053141838.1_Streptomyces_ambofaciens,33.845,0.9371951504355962
47,WP_010983715.1_Streptomyces_avermitilis,34.025,1.146895265488527
48,WP_068469535.1_Kocuria_varians_strain_G6,41.83,1.5545291891759383
49,WP_115933252.1_Citricoccus_muralis,40.5,1.5528522144750285
50,ABL00697.1_Pelobacter_propionicus_DSM_2379,33.235,1.2300295728152235
51,WP_130552392.1_Pseudoxanthomonas_﻿sp._NML171200,33.27,1.1072131682742938
52,WP_117315975.1_Chromatocurvus_halotolerans,32.75,1.1788235661030875
53,WP_056164922.1_Leifsonia_﻿sp._Leaf325,37.005,1.349972129341936
54,WP_086472704.1_Plantibacter_sp._VKM_Ac-1784,35.75,1.071272607696099
55,WP_070193933.1_Humibacillus_sp._DSM_29435,35.995,1.2517087320938525
56,WP_106091803.1_Enhygromyxa_salina_strain_SWB007,37.06,1.0525749379497882
57,WP_033420292.1_Nesterenkonia_alba,33.55,1.0597995093412715
58,WP_096909276.1_Halobacteriovorax_marinus_﻿strain_BE01,37.14,1.313394076429462
59,WP_058859095.1_Kocuria_flava,36.205,1.078171948253153
60,WP_101686474.1_Dermabacter_hominis,32.21,1.007253195576961
61,WP_126985334.1_Brachybacterium_paraconglomeratum,36.39,1.3888768843925656
62,OGN97459.1_Chloroflexi_bacterium_RBG_13_51_36,30.075,0.5877658972754369
63,WP_104244666.1_Subtercola_sp._Z020,36.455,1.2436256470497862
64,WP_022969495.1_Arenimonas_oryziterrae,33.225,1.1475054466101677
65,WP_114959563.1_Thermomonas_haemolytica,34.81,1.2247812049505
66,WP_028771085.1_Silanimonas_lenta,33.135,1.141706069879634
