Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Moritella sp. JT01,756698.3,fig|756698.3.peg.3341,AKG98_3346,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1737,578,578,61,96,99,4,573,711,0
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.4700,DRH90_20590,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1668,555,555,41,96,100,2,555,466,1e-156
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.399,OZSIB_0382,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1647,548,548,43,93,98,5,543,465,3e-156
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1839,DRH30_08880,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1656,551,551,42,94,97,12,548,455,4e-152
Vulcaniibacterium thermophilum strain KCTC 32020,1169913.3,fig|1169913.3.peg.1563,,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1716,571,571,40,94,95,27,569,433,3e-143
Oleispira antarctica RB-8,698738.7,fig|698738.7.peg.1807,OLEAN_C17450,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1665,554,554,40,95,98,3,547,409,2e-134
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.558,Cagg_0550,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1695,564,564,39,97,98,9,561,400,1e-130
Epsilonproteobacteria bacterium strain B11_G4,2026809.16,fig|2026809.16.peg.2169,DRQ88_10765,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1593,530,530,40,93,98,2,521,376,5e-122
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.2862,DP2631,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1626,541,541,40,94,99,3,536,373,1e-120
Desulfobulbaceae bacterium BRH_c16a,1629713.5,fig|1629713.5.peg.4851,VR65_10450,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1629,542,542,42,89,94,31,539,372,2e-120
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.1344,Isop_1050,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1779,592,592,37,93,91,23,558,370,9e-119
Verrucomicrobia bacterium strain B12_G4,2026799.183,fig|2026799.183.peg.320,DRP71_01465,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1680,559,559,37,94,95,7,538,360,1e-115
Verrucomicrobia bacterium strain B12_G4,2026799.183,fig|2026799.183.peg.3129,DRP71_14430,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",1185,394,394,42,64,97,3,383,294,3e-92
Psychrobacter cibarius strain W1,282669.3,fig|282669.3.peg.967,,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",3138,1045,1045,28,88,49,525,1034,193,1e-51
Paeniglutamicibacter gangotriensis strain ANT_H27,254787.3,fig|254787.3.peg.2963,FQ154_13795,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",2589,862,862,29,88,58,348,850,183,2e-48
Salinibacterium sp. UTAS2018,2508880.3,fig|2508880.3.peg.321,ESZ53_01600,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",2829,942,942,28,88,55,417,936,174,2e-45
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.3813,OZSIB_3727,,"4-coumarate--CoA ligase 1 (EC 6.2.1.12)",1737,578,578,26,62,66,185,563,146,4e-37
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.3115,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1644,547,547,24,77,80,33,469,103,1e-22
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.3115,CEN39_11710,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1575,524,524,24,77,80,33,449,87,1e-17
Paeniglutamicibacter gangotriensis strain ANT_H27,254787.3,fig|254787.3.peg.2592,FQ154_12135,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1554,517,517,28,52,55,164,448,86,4e-17
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.2167,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1563,520,520,22,82,86,34,481,82,4e-16
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.3206,DRH90_14250,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1515,504,504,24,52,56,158,438,82,5e-16
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.1241,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1641,546,546,23,75,78,35,461,82,6e-16
Sedimentitalea sp. W43,2483033.3,fig|2483033.3.peg.4325,EBB79_20235,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1515,504,504,27,53,56,145,428,81,8e-16
Rhodonellum psychrophilum DSM 17998 strain GCM71,1123057.7,fig|1123057.7.peg.707,P872_14925,,"Polyketide synthase modules and related proteins",4092,1363,1363,23,72,28,502,877,80,3e-15
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.5414,DRH90_23600,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1698,565,565,25,56,56,195,509,79,7e-15
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.3929,DRH90_17315,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1746,581,581,23,75,77,59,508,79,8e-15
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1583,DRH30_07685,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1530,509,509,24,76,78,32,427,78,1e-14
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.3897,Cagg_3776,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1509,502,502,26,51,56,150,428,77,1e-14
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.2609,,,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)",1674,557,557,22,77,77,37,467,77,1e-14
