Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas arctica DSM 14288","1123036.3","AXWP01000031","fig|1123036.3.peg.2501",,"VBIPsyArc272619_2501","PATRIC.1123036.3.AXWP01000031.CDS.3544.4425.rev","PATRIC","CDS",3544,4425,882,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Lysobacter sp. A03","1199154.3","JXSS01000090","fig|1199154.3.peg.1394","TI01_1853",,"PATRIC.1199154.3.JXSS01000090.CDS.15391.16341.fwd","PATRIC","CDS",15391,16341,951,"+","FIG00004791","PLF_68_00000438","PGF_00010918",,316,,"Haloalkane dehalogenase-like protein",
"Moritella dasanensis ArB 0140","1201293.3","AKXQ01000010","fig|1201293.3.peg.1996",,"VBIMorDas242841_1996","PATRIC.1201293.3.AKXQ01000010.CDS.94143.95021.rev","PATRIC","CDS",94143,95021,879,"-","FIG00004791","PLF_58050_00003344","PGF_00010918",,292,,"Haloalkane dehalogenase-like protein",
"Luteimonas abyssi strain XH031","1247514.3","KQ759763","fig|1247514.3.peg.3441",,,"PATRIC.1247514.3.KQ759763.CDS.3825676.3826500.fwd","PATRIC","CDS",3825676,3826500,825,"+","FIG00004791","PLF_83614_00000411","PGF_00010918",,274,,"Haloalkane dehalogenase-like protein",
"Rufibacter glacialis strain MDT1-10-3","1259555.4","VKKZ01000020","fig|1259555.4.peg.1929",,,"PATRIC.1259555.4.VKKZ01000020.CDS.48184.49056.rev","PATRIC","CDS",48184,49056,873,"-",,,,,290,,"Hydrolase, alpha/beta fold family",
"Psychromonas hadalis ATCC BAA-638","1278302.3","ATUO01000026","fig|1278302.3.peg.1030",,"VBIPsyHad278212_1030","PATRIC.1278302.3.ATUO01000026.CDS.21042.21935.fwd","PATRIC","CDS",21042,21935,894,"+","FIG00004791","PLF_67572_00000480","PGF_00010918",,297,,"Haloalkane dehalogenase-like protein",
"Psychromonas ossibalaenae ATCC BAA-1528","1278307.3","ARML01000094","fig|1278307.3.peg.2752",,"VBIPsyOss269313_2752","PATRIC.1278307.3.ARML01000094.CDS.4332.5213.rev","PATRIC","CDS",4332,5213,882,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Psychromonas aquimarina ATCC BAA-1526","1278312.3","AUAM01000001","fig|1278312.3.peg.243",,"VBIPsyAqu266451_0243","PATRIC.1278312.3.AUAM01000001.CDS.275514.276395.rev","PATRIC","CDS",275514,276395,882,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Arthrobacter sp. H14","1312959.3","AZRX01000230","fig|1312959.3.peg.2371",,"VBIArtSp298096_2371","PATRIC.1312959.3.AZRX01000230.CDS.13776.16412.rev","PATRIC","CDS",13776,16412,2637,"-","FIG00739596","PLF_1663_00001069","PGF_01964713",,878,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. SP041","1365007.3","CBRF010000135","fig|1365007.3.peg.1422",,"VBIPsySp313211_1422","PATRIC.1365007.3.CBRF010000135.CDS.8709.9590.fwd","PATRIC","CDS",8709,9590,882,"+","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
