Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Shewanella oneidensis MR-1,211586.12,fig|211586.12.peg.1540,SO_1602,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7596,2531,2531,99,98,100,1,2531,5046,0
Shewanella putrefaciens CN-32,319224.16,fig|319224.16.peg.1363,Sputcn32_1326,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7929,2642,2642,68,97,99,1,2622,3348,0
Shewanella sp. W3-18-1,351745.9,fig|351745.9.peg.2900,Sputw3181_2777,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7935,2644,2644,68,97,99,1,2624,3346,0
Vibrio crassostreae 9CS106,1191300.3,fig|1191300.3.peg.2026,,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7536,2511,2511,61,97,99,2,2489,2888,0
Vibrio kanaloae 5S-149,1191299.3,fig|1191299.3.peg.2260,,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7527,2508,2508,60,98,100,2,2499,2873,0
Shewanella benthica KT99,314608.4,fig|314608.4.peg.2624,KT99_04852,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7794,2597,2597,60,97,99,18,2586,2866,0
Shewanella sp. MR-4,60480.19,fig|60480.19.peg.2764,Shewmr4_2666,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7974,2657,2657,86,64,63,1,1662,2756,0
Shewanella sp. ANA-3,94122.6,fig|94122.6.peg.3174,Shewana3_2840,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7875,2624,2624,88,63,61,1,1612,2702,0
Shewanella sp. MR-7,60481.13,fig|60481.13.peg.2823,Shewmr7_2733,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7923,2640,2640,87,64,62,1,1645,2659,0
Shewanella algae strain MARS 14,38313.12,fig|38313.12.peg.3105,,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7305,2434,2434,54,97,99,10,2421,2300,0
Shewanella baltica OS155,325240.15,fig|325240.15.peg.1693,Sbal_1425,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",8082,2693,2693,71,63,61,1,1641,2280,0
Shewanella baltica OS678,693973.6,fig|693973.6.peg.1543,Sbal678_1488,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",8085,2694,2694,70,63,62,1,1657,2265,0
