Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Moritella sp. JT01,756698.3,fig|756698.3.peg.3342,AKG98_3347,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1068,355,355,66,95,96,11,351,486,5e-171
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.398,OZSIB_0381,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1053,350,350,50,90,91,18,336,330,1e-109
Desulfobulbaceae bacterium BRH_c16a,1629713.5,fig|1629713.5.peg.4852,VR65_10455,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1023,340,340,46,92,96,6,332,299,8e-98
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.2861,DP2630,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1020,339,339,44,92,96,10,336,296,1e-96
Vulcaniibacterium thermophilum strain KCTC 32020,1169913.3,fig|1169913.3.peg.1560,,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",987,328,328,46,91,99,4,328,290,1e-94
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.4699,DRH90_20585,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1035,344,344,42,92,95,12,337,282,4e-91
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1840,DRH30_08885,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",993,330,330,43,90,97,4,322,273,8e-88
Epsilonproteobacteria bacterium strain B11_G4,2026809.16,fig|2026809.16.peg.2170,DRQ88_10770,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",990,329,329,42,91,98,5,328,268,9e-86
Verrucomicrobia bacterium strain B12_G4,2026799.183,fig|2026799.183.peg.319,DRP71_01460,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1038,345,345,41,89,92,13,330,257,2e-81
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.1343,Isop_1049,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1137,378,378,42,90,86,5,328,251,9e-79
Verrucomicrobia bacterium strain B12_G4,2026799.183,fig|2026799.183.peg.3124,DRP71_14415,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1032,343,343,39,91,95,12,337,236,1e-73
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.557,Cagg_0549,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",990,329,329,41,90,97,3,322,228,2e-70
Salinibacterium sp. UTAS2018,2508880.3,fig|2508880.3.peg.320,ESZ53_01595,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",987,328,328,35,90,95,4,316,192,1e-56
Psychrobacter cibarius strain W1,282669.3,fig|282669.3.peg.966,,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1329,442,442,33,90,73,63,385,177,8e-50
Paeniglutamicibacter gangotriensis strain ANT_H27,254787.3,fig|254787.3.peg.2964,FQ154_13800,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",1029,342,342,33,93,96,1,329,172,4e-49
Oleispira antarctica RB-8,698738.7,fig|698738.7.peg.1805,OLEAN_C17430,,"hypothetical protein",1026,341,341,28,90,95,4,327,146,3e-39
Deltaproteobacteria bacterium strain B9_G4,2026735.148,fig|2026735.148.peg.1635,DRH30_07950,,"hypothetical protein",1065,354,354,30,90,92,15,339,126,5e-32
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.3378,Isop_2613,,"Putative oxidoreductase",1077,358,358,26,89,88,10,323,123,4e-31
